assembly_work_order_fact_id,source_record_id,source_title,source_url,official_project_title,assembly_source_label,assembly_source_url,source_access_status,source_extract_method,local_project_match_confidence,scp_cost_crore,work_order_cost_crore,work_order_amount_inr,expenditure_cost_crore,work_order_date,contract_completion_date,probable_completion_date,actual_completion_date,tender_status,present_status,import_promoted,verification_notes,limitations
assembly_work_order_a4fe31b9f4d326cfc468,mscl_project_b6c2f9b5ed0ab8bd,LED Light in Govt. Buildings,https://mangalurusmartcity.net/project/20,Conversion of all the lighting in government building into LED,"KLA Council unstarred question 246, 14.09.2021",https://kla.kar.nic.in/council/Replies/unstarred/14092021/usq246%2814092021%29.pdf,official_pdf_indexed_table_text; direct_runtime_pdf_download_timeout,curated_from_official_kla_pdf_search_index_snippet,high,2.005,2.0,20000000.0,,2019-02-04,2019-08-04,,2019-09-30,completed,Completed,True,"Curated from KLA Council unstarred question 246, 14.09.2021 official PDF table as exposed by public web index; direct PDF download from this runtime timed out, so retain source URL and verify against PDF before legal use. Source table provides work order date and status, not contractor or successful-bidder identity.",Official legislative-reply work-order/status evidence; not a KPPP/eProc award register and not contractor truth.
assembly_work_order_170407a20e25febca66c,mscl_project_7fc037e25e418d05,Construction of Clock Tower,https://mangalurusmartcity.net/project/29,Construction of Clock Tower at Clock Tower Junction,"KLA Council unstarred question 246, 14.09.2021",https://kla.kar.nic.in/council/Replies/unstarred/14092021/usq246%2814092021%29.pdf,official_pdf_indexed_table_text; direct_runtime_pdf_download_timeout,curated_from_official_kla_pdf_search_index_snippet,high,0.9,0.75,7500000.0,,2018-02-08,2018-02-08,,2019-09-30,completed,Completed,True,"Curated from KLA Council unstarred question 246, 14.09.2021 official PDF table as exposed by public web index; direct PDF download from this runtime timed out, so retain source URL and verify against PDF before legal use. Source table provides work order date and status, not contractor or successful-bidder identity.",Official legislative-reply work-order/status evidence; not a KPPP/eProc award register and not contractor truth.
assembly_work_order_9bc5929960de9d6df2b3,mscl_project_bfe3749c86e504aa,Smart Road 1,https://mangalurusmartcity.net/project/40,Smart Road Package 1 - Improvements to Nehru Maidan Road from Clock Tower to AB Shetty Circle,"KLA Council unstarred question 246, 14.09.2021",https://kla.kar.nic.in/council/Replies/unstarred/14092021/usq246%2814092021%29.pdf,official_pdf_indexed_table_text; direct_runtime_pdf_download_timeout,curated_from_official_kla_pdf_search_index_snippet,high,6.16,2.16,21600000.0,,2018-06-20,2018-12-20,,2020-01-31,completed,Completed,True,"Curated from KLA Council unstarred question 246, 14.09.2021 official PDF table as exposed by public web index; direct PDF download from this runtime timed out, so retain source URL and verify against PDF before legal use. Source table provides work order date and status, not contractor or successful-bidder identity.",Official legislative-reply work-order/status evidence; not a KPPP/eProc award register and not contractor truth.
assembly_work_order_a2a44eb235ebe36da735,mscl_project_2a8926b376b2c786,Implementation of E-Smart School (ICT),https://mangalurusmartcity.net/project/4,Implementation of E-smart schools in all government schools-Package 2 - ICT,"KLA Council unstarred question 246, 14.09.2021",https://kla.kar.nic.in/council/Replies/unstarred/14092021/usq246%2814092021%29.pdf,official_pdf_indexed_table_text; direct_runtime_pdf_download_timeout,curated_from_official_kla_pdf_search_index_snippet,high,5.0,3.33,33300000.0,,2020-02-14,2020-09-30,,2021-03-31,completed,Completed,True,"Curated from KLA Council unstarred question 246, 14.09.2021 official PDF table as exposed by public web index; direct PDF download from this runtime timed out, so retain source URL and verify against PDF before legal use. Source table provides work order date and status, not contractor or successful-bidder identity.",Official legislative-reply work-order/status evidence; not a KPPP/eProc award register and not contractor truth.
assembly_work_order_cb02ac55de1ffb355400,mscl_project_ebb19874b0a0a54b,Implementation of E-Smart School (Civil Infrastructure),https://mangalurusmartcity.net/project/18,Implementation of E-smart schools in all government schools - Package 1 - Infrastructure,"KLA Council unstarred question 246, 14.09.2021",https://kla.kar.nic.in/council/Replies/unstarred/14092021/usq246%2814092021%29.pdf,official_pdf_indexed_table_text; direct_runtime_pdf_download_timeout,curated_from_official_kla_pdf_search_index_snippet,high,11.62,11.62,116200000.0,,2019-08-21,2021-02-15,,2021-09-30,completed,Completed,True,"Curated from KLA Council unstarred question 246, 14.09.2021 official PDF table as exposed by public web index; direct PDF download from this runtime timed out, so retain source URL and verify against PDF before legal use. Source table provides work order date and status, not contractor or successful-bidder identity.",Official legislative-reply work-order/status evidence; not a KPPP/eProc award register and not contractor truth.
assembly_work_order_56114adb5fc35bcb31bd,mscl_project_46b2d5141ca219f5,Construction of additional floor at existing building of Lady Goschen hospital at Mangaluru,https://mangalurusmartcity.net/project/26,Construction of additional floor at existing building of Lady Goschen hospital at Mangaluru,"KLA Council unstarred question 246, 14.09.2021",https://kla.kar.nic.in/council/Replies/unstarred/14092021/usq246%2814092021%29.pdf,official_pdf_indexed_table_text; direct_runtime_pdf_download_timeout,curated_from_official_kla_pdf_search_index_snippet,high,3.0,1.93,19300000.0,,2020-06-24,2021-06-23,,2021-08-31,completed,Completed,True,"Curated from KLA Council unstarred question 246, 14.09.2021 official PDF table as exposed by public web index; direct PDF download from this runtime timed out, so retain source URL and verify against PDF before legal use. Source table provides work order date and status, not contractor or successful-bidder identity.",Official legislative-reply work-order/status evidence; not a KPPP/eProc award register and not contractor truth.
assembly_work_order_6c4e04ca5b794af9af27,mscl_project_ebcb7dbf7feeaf21,Command and Control Center Stage I,https://mangalurusmartcity.net/project/35,Selection of System Integrator for Implementation of Command and Control Center Components in Mangaluru City - CAPEX,"KLA Council unstarred question 246, 14.09.2021",https://kla.kar.nic.in/council/Replies/unstarred/14092021/usq246%2814092021%29.pdf,official_pdf_indexed_table_text; direct_runtime_pdf_download_timeout,curated_from_official_kla_pdf_search_index_snippet,high,32.0,17.12,171200000.0,,2018-11-07,2020-07-31,2021-05-15,,work_order_issued_or_in_progress,Ongoing / conditional UAT approval noted in reply table,True,"Curated from KLA Council unstarred question 246, 14.09.2021 official PDF table as exposed by public web index; direct PDF download from this runtime timed out, so retain source URL and verify against PDF before legal use. Source table provides work order date and status, not contractor or successful-bidder identity.",Official legislative-reply work-order/status evidence; not a KPPP/eProc award register and not contractor truth.
assembly_work_order_6922aa20304ca4b2e8a4,mscl_project_775f00415a9213f8,Smart Road 2,https://mangalurusmartcity.net/project/39,Smart Road - Package 2 (Loop road),"KLA Council unstarred question 246, 14.09.2021",https://kla.kar.nic.in/council/Replies/unstarred/14092021/usq246%2814092021%29.pdf,official_pdf_indexed_table_text; direct_runtime_pdf_download_timeout,curated_from_official_kla_pdf_search_index_snippet,high,14.5,13.76,137600000.0,,2019-07-04,2020-12-03,2021-08-31,,work_order_issued_or_in_progress,Ongoing / road and street-light works in progress,True,"Curated from KLA Council unstarred question 246, 14.09.2021 official PDF table as exposed by public web index; direct PDF download from this runtime timed out, so retain source URL and verify against PDF before legal use. Source table provides work order date and status, not contractor or successful-bidder identity.",Official legislative-reply work-order/status evidence; not a KPPP/eProc award register and not contractor truth.
assembly_work_order_c58d6a9dad520c0faa47,mscl_project_aeada954e2b08803,Smart Road 4,https://mangalurusmartcity.net/project/41,Smart Road - Package 4,"KLA Council starred question 21, 22.09.2020",https://kla.kar.nic.in/council/Replies/starred/22092020/21%28216203%29.pdf,official_pdf_indexed_table_text; direct_runtime_pdf_download_timeout,curated_from_official_kla_pdf_search_index_snippet,high,48.0,41.21,412100000.0,,2019-09-16,2021-02-15,2021-02-15,,work_order_issued_or_in_progress,"Ongoing / junction, drain, marking, footpath and road works in progress",True,"Curated from KLA Council starred question 21, 22.09.2020 official PDF table as exposed by public web index; direct PDF download from this runtime timed out, so retain source URL and verify against PDF before legal use. Source table provides work order date and status, not contractor or successful-bidder identity.",Official legislative-reply work-order/status evidence; not a KPPP/eProc award register and not contractor truth.
assembly_work_order_eda07ebb3598bcf89355,mscl_project_3d52e20e27a5b818,Smart Road 5,https://mangalurusmartcity.net/project/42,Smart Road - Package 5,"KLA Council unstarred question 729, 15.12.2020",https://kla.kar.nic.in/council/Replies/unstarred/15122020/729%28789%29.pdf,official_pdf_indexed_table_text; direct_runtime_pdf_download_timeout,curated_from_official_kla_pdf_search_index_snippet,high,49.0,46.87,468700000.0,,2019-11-16,2021-03-15,2021-03-15,,work_order_issued_or_in_progress,Ongoing / carriageway and drain works in progress,True,"Curated from KLA Council unstarred question 729, 15.12.2020 official PDF table as exposed by public web index; direct PDF download from this runtime timed out, so retain source URL and verify against PDF before legal use. Source table provides work order date and status, not contractor or successful-bidder identity.",Official legislative-reply work-order/status evidence; not a KPPP/eProc award register and not contractor truth.
assembly_work_order_2f34296a8c04e5dfec13,mscl_project_083b6019c8669cba,Smart Road 6,https://mangalurusmartcity.net/project/43,Smart Road - Package 6,"KLA Council unstarred question 729, 15.12.2020",https://kla.kar.nic.in/council/Replies/unstarred/15122020/729%28789%29.pdf,official_pdf_indexed_table_text; direct_runtime_pdf_download_timeout,curated_from_official_kla_pdf_search_index_snippet,high,48.0,41.78,417800000.0,6.26,2019-10-04,2021-02-15,2021-05-15,,work_order_issued_or_in_progress,Ongoing / carriageway and storm-water-drain works in progress,True,"Curated from KLA Council unstarred question 729, 15.12.2020 official PDF table as exposed by public web index; direct PDF download from this runtime timed out, so retain source URL and verify against PDF before legal use. Source table provides work order date and status, not contractor or successful-bidder identity.",Official legislative-reply work-order/status evidence; not a KPPP/eProc award register and not contractor truth.
assembly_work_order_0e867a285a381e94c539,mscl_project_60002bfd95a402b0,Smart Road 3,https://mangalurusmartcity.net/project/38,Smart Road - Package 3,"KLA Council unstarred question 729, 15.12.2020",https://kla.kar.nic.in/council/Replies/unstarred/15122020/729%28789%29.pdf,official_pdf_indexed_table_text; direct_runtime_pdf_download_timeout,curated_from_official_kla_pdf_search_index_snippet,high,49.0,44.39,443900000.0,4.78,2019-11-19,2021-03-19,2021-05-31,,work_order_issued_or_in_progress,Ongoing / PQC and storm-water-drain works in progress,True,"Curated from KLA Council unstarred question 729, 15.12.2020 official PDF table as exposed by public web index; direct PDF download from this runtime timed out, so retain source URL and verify against PDF before legal use. Source table provides work order date and status, not contractor or successful-bidder identity.",Official legislative-reply work-order/status evidence; not a KPPP/eProc award register and not contractor truth.
assembly_work_order_2c69ad27e1cb0ba09574,mscl_project_7e2c672c1d2ce30b,Smart Road 7,https://mangalurusmartcity.net/project/44,Smart Road - Package 7,"KLA Council unstarred question 729, 15.12.2020",https://kla.kar.nic.in/council/Replies/unstarred/15122020/729%28789%29.pdf,official_pdf_indexed_table_text; direct_runtime_pdf_download_timeout,curated_from_official_kla_pdf_search_index_snippet,high,40.52,38.74,387400000.0,1.45,2019-11-18,2021-03-18,2021-05-31,,work_order_issued_or_in_progress,Ongoing / carriageway works in progress,True,"Curated from KLA Council unstarred question 729, 15.12.2020 official PDF table as exposed by public web index; direct PDF download from this runtime timed out, so retain source URL and verify against PDF before legal use. Source table provides work order date and status, not contractor or successful-bidder identity.",Official legislative-reply work-order/status evidence; not a KPPP/eProc award register and not contractor truth.
assembly_work_order_c7227dd428b840624e1b,mscl_project_fe66f2c90356ef06,Pedestrian Plaza,https://mangalurusmartcity.net/project/22,Smart Road - Package 9 - Construction of Pedestrian Plaza,"KLA Council unstarred question 729, 15.12.2020",https://kla.kar.nic.in/council/Replies/unstarred/15122020/729%28789%29.pdf,official_pdf_indexed_table_text; direct_runtime_pdf_download_timeout,curated_from_official_kla_pdf_search_index_snippet,high,7.0,5.93,59300000.0,,2019-09-20,2021-02-15,2021-02-15,,work_order_issued_or_in_progress,Ongoing / box culvert complete and staircase work under progress,True,"Curated from KLA Council unstarred question 729, 15.12.2020 official PDF table as exposed by public web index; direct PDF download from this runtime timed out, so retain source URL and verify against PDF before legal use. Source table provides work order date and status, not contractor or successful-bidder identity.",Official legislative-reply work-order/status evidence; not a KPPP/eProc award register and not contractor truth.
assembly_work_order_27cb3257f59774afb53a,mscl_project_706b1fa83545292f,Construction of Command Control Center Building- annexe to MCC Building,https://mangalurusmartcity.net/project/25,Construction of Command Control Building - annexe to MCC Building,"KLA Council unstarred question 246, 14.09.2021",https://kla.kar.nic.in/council/Replies/unstarred/14092021/usq246%2814092021%29.pdf,official_pdf_indexed_table_text; direct_runtime_pdf_download_timeout,curated_from_official_kla_pdf_search_index_snippet,high,5.0,4.26,42600000.0,,2020-02-13,2021-02-12,2021-08-12,,work_order_issued_or_in_progress,Ongoing / terrace slab reinforcement in progress,True,"Curated from KLA Council unstarred question 246, 14.09.2021 official PDF table as exposed by public web index; direct PDF download from this runtime timed out, so retain source URL and verify against PDF before legal use. Source table provides work order date and status, not contractor or successful-bidder identity.",Official legislative-reply work-order/status evidence; not a KPPP/eProc award register and not contractor truth.
assembly_work_order_0a77b37d01d62d9fcfb8,mscl_project_fc77aba281b00c6d,Upgradation of Integrated Asset Management and Urban Property Ownership Record (UPOR) Building,https://mangalurusmartcity.net/project/30,Upgradation of Integrated Asset Management and Urban Property Ownership Record Building,"KLA Council unstarred question 246, 14.09.2021",https://kla.kar.nic.in/council/Replies/unstarred/14092021/usq246%2814092021%29.pdf,official_pdf_indexed_table_text; direct_runtime_pdf_download_timeout,curated_from_official_kla_pdf_search_index_snippet,high,5.0,4.88,48800000.0,,2020-02-13,2021-02-12,2021-08-12,,work_order_issued_or_in_progress,"Ongoing / structure and internal works completed, external works in progress",True,"Curated from KLA Council unstarred question 246, 14.09.2021 official PDF table as exposed by public web index; direct PDF download from this runtime timed out, so retain source URL and verify against PDF before legal use. Source table provides work order date and status, not contractor or successful-bidder identity.",Official legislative-reply work-order/status evidence; not a KPPP/eProc award register and not contractor truth.
assembly_work_order_b37e164c42091f584bab,mscl_project_7b85572394c04d53,Skill Development Center,https://mangalurusmartcity.net/project/16,Skill Development and Safety Training Centre,"KLA Council unstarred question 729, 15.12.2020",https://kla.kar.nic.in/council/Replies/unstarred/15122020/729%28789%29.pdf,official_pdf_indexed_table_text; direct_runtime_pdf_download_timeout,curated_from_official_kla_pdf_search_index_snippet,high,4.75,4.6,46000000.0,0.46,2020-05-14,2021-05-13,2021-05-13,,work_order_issued_or_in_progress,Ongoing / ground floor complete and first-floor column casting in progress,True,"Curated from KLA Council unstarred question 729, 15.12.2020 official PDF table as exposed by public web index; direct PDF download from this runtime timed out, so retain source URL and verify against PDF before legal use. Source table provides work order date and status, not contractor or successful-bidder identity.",Official legislative-reply work-order/status evidence; not a KPPP/eProc award register and not contractor truth.
assembly_work_order_8af616240d7c975d0200,mscl_project_7e883d19423fb6a7,Swimming Pool Complex,https://mangalurusmartcity.net/project/13,Community Level Facilities along with international swimming pool,"KLA Council unstarred question 246, 14.09.2021",https://kla.kar.nic.in/council/Replies/unstarred/14092021/usq246%2814092021%29.pdf,official_pdf_indexed_table_text; direct_runtime_pdf_download_timeout,curated_from_official_kla_pdf_search_index_snippet,high,24.94,21.96,219600000.0,,2020-02-20,2022-02-20,2022-02-20,,work_order_issued_or_in_progress,"Ongoing / pile, pile-cap, column, grade beam and slab works in progress in reply table",True,"Curated from KLA Council unstarred question 246, 14.09.2021 official PDF table as exposed by public web index; direct PDF download from this runtime timed out, so retain source URL and verify against PDF before legal use. Source table provides work order date and status, not contractor or successful-bidder identity.",Official legislative-reply work-order/status evidence; not a KPPP/eProc award register and not contractor truth.
assembly_work_order_a5670b1a80b7d2aeda46,mscl_project_82c1fa287d154e3b,Development of Kadri Park,https://mangalurusmartcity.net/project/17,Integrated Development of Kadri Park Area,"KLA Council unstarred question 246, 14.09.2021",https://kla.kar.nic.in/council/Replies/unstarred/14092021/usq246%2814092021%29.pdf,official_pdf_indexed_table_text; direct_runtime_pdf_download_timeout,curated_from_official_kla_pdf_search_index_snippet,high,12.0,9.07,90700000.0,,2020-02-18,2022-02-18,2022-02-17,,work_order_issued_or_in_progress,Ongoing / plaza and park works in progress,True,"Curated from KLA Council unstarred question 246, 14.09.2021 official PDF table as exposed by public web index; direct PDF download from this runtime timed out, so retain source URL and verify against PDF before legal use. Source table provides work order date and status, not contractor or successful-bidder identity.",Official legislative-reply work-order/status evidence; not a KPPP/eProc award register and not contractor truth.
assembly_work_order_dff60f295dbfadb7fa08,mscl_project_29cf7deda4d535c2,Rehabilitation of Central Market,https://mangalurusmartcity.net/project/37,Rehabilitation of Central Market,"KLA Council unstarred question 729, 15.12.2020",https://kla.kar.nic.in/council/Replies/unstarred/15122020/729%28789%29.pdf,official_pdf_indexed_table_text; direct_runtime_pdf_download_timeout,curated_from_official_kla_pdf_search_index_snippet,high,6.24,5.06,50600000.0,,2020-05-02,2020-11-02,2020-11-02,,work_order_issued_or_in_progress,Work stopped due to High Court stay order,True,"Curated from KLA Council unstarred question 729, 15.12.2020 official PDF table as exposed by public web index; direct PDF download from this runtime timed out, so retain source URL and verify against PDF before legal use. Source table provides work order date and status, not contractor or successful-bidder identity.",Official legislative-reply work-order/status evidence; not a KPPP/eProc award register and not contractor truth.
assembly_work_order_db2fdf09c3c2980c480d,mscl_project_90f3d29c46797e36,Wenlock Hospital Upgradation,https://mangalurusmartcity.net/project/14,Upgradation of Wenlock Hospital - Infra works,"KLA Council unstarred question 729, 15.12.2020",https://kla.kar.nic.in/council/Replies/unstarred/15122020/729%28789%29.pdf,official_pdf_indexed_table_text; direct_runtime_pdf_download_timeout,curated_from_official_kla_pdf_search_index_snippet,high,5.83,4.59,45900000.0,,2020-06-06,2021-06-05,2021-06-05,,work_order_issued_or_in_progress,Ongoing / pavement and PQC works in progress,True,"Curated from KLA Council unstarred question 729, 15.12.2020 official PDF table as exposed by public web index; direct PDF download from this runtime timed out, so retain source URL and verify against PDF before legal use. Source table provides work order date and status, not contractor or successful-bidder identity.",Official legislative-reply work-order/status evidence; not a KPPP/eProc award register and not contractor truth.
assembly_work_order_a6222f09bd9253f69d13,mscl_project_038ab4aebc843da1,Upgradation of Mangala Stadium,https://mangalurusmartcity.net/project/27,Upgradation of Mangala Stadium,"KLA Council unstarred question 729, 15.12.2020",https://kla.kar.nic.in/council/Replies/unstarred/15122020/729%28789%29.pdf,official_pdf_indexed_table_text; direct_runtime_pdf_download_timeout,curated_from_official_kla_pdf_search_index_snippet,high,10.0,5.87,58700000.0,,2020-06-02,2021-03-01,2021-03-01,,work_order_issued_or_in_progress,Ongoing / excavation and footing marking work in progress,True,"Curated from KLA Council unstarred question 729, 15.12.2020 official PDF table as exposed by public web index; direct PDF download from this runtime timed out, so retain source URL and verify against PDF before legal use. Source table provides work order date and status, not contractor or successful-bidder identity.",Official legislative-reply work-order/status evidence; not a KPPP/eProc award register and not contractor truth.
assembly_work_order_fe46c36fd3ce5e2d7662,mscl_project_9d8efd51940b0efb,Installation of Rooftop Solar on Government Building in ABD area-Phase 1,https://mangalurusmartcity.net/project/34,Installation of Rooftop Solar on Government Buildings in ABD area - Phase 1,"KLA Council unstarred question 246, 14.09.2021",https://kla.kar.nic.in/council/Replies/unstarred/14092021/usq246%2814092021%29.pdf,official_pdf_indexed_table_text; direct_runtime_pdf_download_timeout,curated_from_official_kla_pdf_search_index_snippet,high,7.08,,,,2018-07-30,2021-04-30,2022-04-30,,work_order_issued_or_in_progress,"Agreement with government buildings signed for 705 kW out of 1288 kW; ESI Hospital, MCC Building, Town Hall and MCC Building at Mallikatte commissioned; other buildings pending or in progress.",True,"Curated from KLA Council unstarred question 246, 14.09.2021 official PDF table as exposed by public web index; direct PDF download from this runtime timed out, so retain source URL and verify against PDF before legal use. Source table provides work order date and status, not contractor or successful-bidder identity.",Official legislative-reply work-order/status evidence; not a KPPP/eProc award register and not contractor truth.
assembly_work_order_1e89f7aef05bca12b5b6,mscl_project_ee13937f67873a0f,Multi-Level Car Parking,https://mangalurusmartcity.net/project/32,Development of MLCP with retail space near Hampankatta junction,"KLA Council unstarred question 246, 14.09.2021",https://kla.kar.nic.in/council/Replies/unstarred/14092021/usq246%2814092021%29.pdf,official_pdf_indexed_table_text; direct_runtime_pdf_download_timeout,curated_from_official_kla_pdf_search_index_snippet,high,79.05,,,,2018-11-07,2024-09-01,2024-09-01,,work_order_issued_or_in_progress,Revised LOA issued on 29.06.2020; bank guarantee received from concessionaire on 04.01.2021; final architectural plan submitted; concessionaire agreement signed on 25.08.2021.,True,"Curated from KLA Council unstarred question 246, 14.09.2021 official PDF table as exposed by public web index; direct PDF download from this runtime timed out, so retain source URL and verify against PDF before legal use. Source table provides loa date in work order date column and status, not contractor or successful-bidder identity.",Official legislative-reply work-order/status evidence; not a KPPP/eProc award register and not contractor truth.
assembly_work_order_77cd51a68d68c53cae11,mscl_project_58bab29edb7010f7,Conversion of Streetlight to LED,https://mangalurusmartcity.net/project/33,Conversion of Street Lights to LED,"KLA Council unstarred question 246, 14.09.2021",https://kla.kar.nic.in/council/Replies/unstarred/14092021/usq246%2814092021%29.pdf,official_pdf_indexed_table_text; direct_runtime_pdf_download_timeout,curated_from_official_kla_pdf_search_index_snippet,high,62.63,,,,2020-07-03,2021-10-24,2021-10-24,,work_order_issued_or_in_progress,LOA issued to the contractor on 03.07.2020; demonstration completed; contract agreement signed on 24.02.2021; ICE agreement signed; survey work in progress.,True,"Curated from KLA Council unstarred question 246, 14.09.2021 official PDF table as exposed by public web index; direct PDF download from this runtime timed out, so retain source URL and verify against PDF before legal use. Source table provides loa date in work order date column and status, not contractor or successful-bidder identity.",Official legislative-reply work-order/status evidence; not a KPPP/eProc award register and not contractor truth.
